,service_date,day_type,bus,rail_boardings,total_rides
6574,2019-01-01,U,248879,245852,494731
6575,2019-01-02,W,591006,573542,1164548
6576,2019-01-03,W,664442,627781,1292223
6577,2019-01-04,W,668812,628514,1297326
6578,2019-01-05,A,444434,348257,792691
6579,2019-01-06,U,318623,260556,579179
6580,2019-01-07,W,723023,662470,1385493
6581,2019-01-08,W,784085,701693,1485778
6582,2019-01-09,W,747949,685444,1433393
6583,2019-01-10,W,747850,690162,1438012
6584,2019-01-11,W,763718,679115,1442833
6585,2019-01-12,A,382464,325219,707683
6586,2019-01-13,U,301855,250222,552077
6587,2019-01-14,W,756590,705571,1462161
6588,2019-01-15,W,783113,720095,1503208
6589,2019-01-16,W,800537,728048,1528585
6590,2019-01-17,W,800348,734929,1535277
6591,2019-01-18,W,776640,700006,1476646
6592,2019-01-19,A,337080,312424,649504
6593,2019-01-20,U,271961,236744,508705
6594,2019-01-21,W,445534,401503,847037
6595,2019-01-22,W,757962,712125,1470087
6596,2019-01-23,W,764136,718899,1483035
6597,2019-01-24,W,745872,711300,1457172
6598,2019-01-25,W,568100,590674,1158774
6599,2019-01-26,A,343625,296063,639688
6600,2019-01-27,U,258884,221081,479965
6601,2019-01-28,W,668192,678810,1347002
6602,2019-01-29,W,581664,579917,1161581
6603,2019-01-30,W,124154,97917,222071
6604,2019-01-31,W,282336,243912,526248
6605,2019-02-01,W,683059,648091,1331150
6606,2019-02-02,A,435441,345650,781091
6607,2019-02-03,U,322488,250724,573212
6608,2019-02-04,W,808055,718764,1526819
6609,2019-02-05,W,808858,734181,1543039
6610,2019-02-06,W,799164,727769,1526933
6611,2019-02-07,W,789342,732351,1521693
6612,2019-02-08,W,710682,655823,1366505
6613,2019-02-09,A,423681,338847,762528
6614,2019-02-10,U,296809,251192,548001
6615,2019-02-11,W,779386,704667,1484053
6616,2019-02-12,W,741083,698387,1439470
6617,2019-02-13,W,795205,728764,1523969
6618,2019-02-14,W,824482,746611,1571093
6619,2019-02-15,W,754152,687932,1442084
6620,2019-02-16,A,438454,362613,801067
6621,2019-02-17,U,296482,256817,553299
6622,2019-02-18,W,555501,519409,1074910
6623,2019-02-19,W,812492,725195,1537687
6624,2019-02-20,W,779660,717172,1496832
6625,2019-02-21,W,813056,727504,1540560
