ridership,route,daytype,date,month_beginning,avg_weekday_rides,avg_saturday_rides,monthtotal,routename,avg_sunday_holiday_rides
21184,20,W,2001-01-03,2001-01-01,21570.3,12804.3,566683.0,Madison,8184.0
273,90N,W,2001-01-03,2001-01-01,318.9,98.7,7412.0,North Harlem,0.0
515,169,W,2001-01-04,2001-01-01,885.9,53.7,19704.0,69th-UPS Express,0.0
880,33,W,2001-01-05,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
8511,152,W,2001-01-02,2001-01-01,10738.1,4457.2,265503.0,Addison,2287.1
21114,49,W,2001-01-04,2001-01-01,23732.1,20598.9,666662.0,Western,12432.2
1214,43,W,2001-01-05,2001-01-01,1351.0,679.3,34213.0,43rd,354.8
4096,73,W,2001-01-03,2001-01-01,4994.3,2688.6,127491.0,Armitage,1372.4
467,17,W,2001-01-05,2001-01-01,514.5,0.0,11319.0,Westchester,0.0
2100,103,W,2001-01-02,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
7354,3,U,2001-01-01,2001-01-01,21406.5,13210.7,567413.0,King Drive,8725.3
1708,39,W,2001-01-02,2001-01-01,2249.6,0.0,49492.0,Pershing,0.0
2933,125,W,2001-01-03,2001-01-01,2690.8,0.0,59197.0,Water Tower Express,0.0
149,173,W,2001-01-03,2001-01-01,253.0,562.1,9088.0,U. of Chicago/Lakeview Express,254.6
666,100,W,2001-01-03,2001-01-01,1167.0,0.0,25673.0,Jeffery Manor Express,0.0
2540,155,U,2001-01-01,2001-01-01,7283.4,5229.9,198930.0,Devon,3555.3
6679,53A,W,2001-01-04,2001-01-01,9037.4,3198.0,218700.0,South Pulaski,1417.1
6048,6,U,2001-01-01,2001-01-01,18443.0,13088.2,493926.0,Jackson Park Express,7165.6
1251,106,W,2001-01-02,2001-01-01,2317.8,570.3,55265.0,East 103rd,398.4
7044,36,U,2001-01-01,2001-01-01,15360.0,13898.6,436950.0,Broadway,8687.4
2353,78,U,2001-01-01,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
8027,78,W,2001-01-02,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
1803,93,W,2001-01-03,2001-01-01,2228.0,1057.5,53246.0,California/Dodge,0.0
8479,147,W,2001-01-04,2001-01-01,8812.6,5443.1,215649.0,Outer Drive Express,0.0
601,100,W,2001-01-02,2001-01-01,1167.0,0.0,25673.0,Jeffery Manor Express,0.0
3137,112,W,2001-01-03,2001-01-01,3874.0,1439.3,95661.0,Vincennes/111th,935.1
11179,52,W,2001-01-04,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
12428,55,W,2001-01-04,2001-01-01,12778.5,9126.4,350112.0,Garfield,6495.9
2971,30,W,2001-01-03,2001-01-01,3823.5,1960.2,95218.0,South Chicago,652.2
6487,50,W,2001-01-02,2001-01-01,8322.7,4419.7,213128.0,Damen,2470.1
2689,126,U,2001-01-01,2001-01-01,10129.2,4785.9,255239.0,Jackson,2650.5
257,171,W,2001-01-02,2001-01-01,864.9,413.2,21573.0,U. of Chicago/Hyde Park,178.3
8605,12,W,2001-01-02,2001-01-01,10763.5,6950.6,288055.0,Roosevelt,4691.0
5,290S,W,2001-01-02,2001-01-01,,,,,
402,17,W,2001-01-03,2001-01-01,514.5,0.0,11319.0,Westchester,0.0
7096,20,U,2001-01-01,2001-01-01,21570.3,12804.3,566683.0,Madison,8184.0
1233,96,W,2001-01-02,2001-01-01,1343.2,0.0,29550.0,Lunt,0.0
355,170,W,2001-01-03,2001-01-01,287.1,0.0,6315.0,U. of Chicago/Midway,0.0
70,25,W,2001-01-02,2001-01-01,144.8,0.0,3186.0,West Cermak,0.0
17872,8,W,2001-01-05,2001-01-01,19582.2,12420.0,521892.0,Halsted,8280.8
1564,81W,W,2001-01-02,2001-01-01,1577.3,837.2,39738.0,West Lawrence,337.6
3071,76,U,2001-01-01,2001-01-01,13254.3,8168.3,348404.0,Diversey,4827.2
713,112,U,2001-01-01,2001-01-01,3874.0,1439.3,95661.0,Vincennes/111th,935.1
8918,70,W,2001-01-03,2001-01-01,11102.5,7625.8,301077.0,Division,5264.0
24797,9,W,2001-01-02,2001-01-01,29265.4,22621.7,811006.0,Ashland,15336.1
9288,4,U,2001-01-01,2001-01-01,22432.2,17994.0,618796.0,Cottage Grove,10662.2
9303,29,U,2001-01-01,2001-01-01,16328.2,12511.5,451955.0,State,8537.9
1451,52A,U,2001-01-01,2001-01-01,5919.1,3596.1,154232.0,South Kedzie,1925.5
10984,55,W,2001-01-02,2001-01-01,12778.5,9126.4,350112.0,Garfield,6495.9
3703,84,W,2001-01-04,2001-01-01,4357.5,2418.1,111265.0,Peterson,1145.6
7320,78,W,2001-01-03,2001-01-01,8891.8,5826.3,235297.0,Montrose,3274.2
3567,59,W,2001-01-04,2001-01-01,4260.5,2222.6,102622.0,59th/61st,0.0
4684,X49,W,2001-01-04,2001-01-01,5131.8,0.0,112899.0,Western Express,0.0
10954,85,W,2001-01-03,2001-01-01,13188.5,8148.9,346996.0,Central,4850.7
6189,67,U,2001-01-01,2001-01-01,14219.5,9844.6,387336.0,67th-69th-71st,7025.6
1526,35,U,2001-01-01,2001-01-01,5977.7,3342.5,153931.0,35th,1810.1
4061,52,U,2001-01-01,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
1523,18,W,2001-01-02,2001-01-01,1923.8,898.5,49130.0,16th/18th,642.3
1173,54A,W,2001-01-04,2001-01-01,1281.3,0.0,28188.0,North Cicero/Skokie Blvd.,0.0
2263,108,W,2001-01-04,2001-01-01,2928.1,0.0,64417.0,Halsted/95th,0.0
19117,63,W,2001-01-03,2001-01-01,21814.1,17120.8,605727.0,63rd,11466.5
2179,108,W,2001-01-03,2001-01-01,2928.1,0.0,64417.0,Halsted/95th,0.0
77,25,W,2001-01-03,2001-01-01,144.8,0.0,3186.0,West Cermak,0.0
3541,34,U,2001-01-01,2001-01-01,7911.6,5744.2,214933.0,South Michigan,3580.5
389,172,W,2001-01-02,2001-01-01,890.2,74.4,20116.0,U. of Chicago/Kenwood,46.6
6469,53A,W,2001-01-03,2001-01-01,9037.4,3198.0,218700.0,South Pulaski,1417.1
4803,60,U,2001-01-01,2001-01-01,13431.4,9929.4,366761.0,Blue Island/26th,6310.6
177,19,W,2001-01-03,2001-01-01,322.0,327.1,6273.0,United Center Express,368.4
25587,79,W,2001-01-03,2001-01-01,30018.4,23808.6,833507.0,79th,15573.7
2980,11,W,2001-01-05,2001-01-01,3448.7,1667.3,86887.0,Lincoln/Sedgwick,869.5
20680,22,W,2001-01-05,2001-01-01,21206.2,14634.5,577386.0,Clark,10462.2
14369,29,W,2001-01-04,2001-01-01,16328.2,12511.5,451955.0,State,8537.9
869,103,U,2001-01-01,2001-01-01,3704.9,1564.8,93121.0,West 103rd,1071.0
2424,57,W,2001-01-03,2001-01-01,3042.6,1412.8,75668.0,Laramie,616.1
2245,136,W,2001-01-04,2001-01-01,2055.4,0.0,45218.0,Sheridan/LaSalle Express,0.0
1208,96,W,2001-01-03,2001-01-01,1343.2,0.0,29550.0,Lunt,0.0
4675,54,U,2001-01-01,2001-01-01,12138.9,9536.3,334903.0,Cicero,5940.5
2122,63W,W,2001-01-04,2001-01-01,2196.4,720.5,53094.0,West 63rd,378.2
3188,11,W,2001-01-04,2001-01-01,3448.7,1667.3,86887.0,Lincoln/Sedgwick,869.5
5159,95W,W,2001-01-04,2001-01-01,5162.6,4526.5,144468.0,West 95th,2556.7
385,10,U,2001-01-01,2001-01-01,0.0,562.6,4115.0,Museum of S & I,372.9
3035,157,W,2001-01-02,2001-01-01,3315.2,0.0,72933.0,Streeterville/Taylor,0.0
742,33,W,2001-01-02,2001-01-01,770.2,0.0,16944.0,Mag Mile Express,0.0
1143,62H,W,2001-01-04,2001-01-01,1392.2,640.0,33189.0,Archer/Harlem,0.0
186,201,U,2001-01-01,2001-01-01,1275.3,615.9,31865.0,Central/Ridge,268.9
7840,94,W,2001-01-02,2001-01-01,10603.7,4792.6,269786.0,South California,3467.0
7823,47,W,2001-01-03,2001-01-01,8069.8,6422.7,220680.0,47th,3490.7
426,69,W,2001-01-02,2001-01-01,417.2,0.0,8761.0,Cumberland/East River,0.0
9613,52,W,2001-01-02,2001-01-01,11592.4,8223.9,313490.0,Kedzie/California,5112.6
2085,39,W,2001-01-04,2001-01-01,2249.6,0.0,49492.0,Pershing,0.0
3803,27,W,2001-01-02,2001-01-01,5629.5,2984.1,147904.0,South Deering,2423.6
2213,57,W,2001-01-02,2001-01-01,3042.6,1412.8,75668.0,Laramie,616.1
12450,81,W,2001-01-03,2001-01-01,14489.3,11561.8,402803.0,Lawrence,7558.0
381,129,W,2001-01-04,2001-01-01,792.7,0.0,17439.0,West Loop/South Loop,0.0
3013,157,W,2001-01-04,2001-01-01,3315.2,0.0,72933.0,Streeterville/Taylor,0.0
9845,28,W,2001-01-03,2001-01-01,11964.9,11269.6,336246.0,Stony Island,5587.8
